circuit_id,circuit_full_name_display,layout_display,circuit_full_name_normalized,layout_normalized,local_address,latitude_dd,longitude_dd,country_id,layout_length_m,alt_circuit_full_name_display
42,Ascari Race Resort,Full circuit,ascari_race_resort,full_circuit,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,5425,
43,Ascari Race Resort,Circuit 1,ascari_race_resort,circuit_1,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,2592,
44,Ascari Race Resort,Circuit 2,ascari_race_resort,circuit_2,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,1341,
45,Ascari Race Resort,Circuit 3,ascari_race_resort,circuit_3,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,1527,
46,Ascari Race Resort,Circuit 1+2,ascari_race_resort,circuit_1_2,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,,
47,Ascari Race Resort,Circuit 1+3,ascari_race_resort,circuit_1_3,"Ascari Race Resort, Carretera Ronda Campillos, KM30.5, 29400 Ronda, Málaga, Spain",36.76249432,-5.203788644,ESP,,
48,Athens Circuit,Full circuit,athens_circuit,full_circuit,"Athens Circuit - Mέγαρα, Megara 190 06, Greece",37.9857077,23.3604029,GRC,2100,Megara
49,Atlanta Motor Speedway,Atlanta Motor Speedway,atlanta_motor_speedway,atlanta_motor_speedway,"Atlanta Motor Speedway, 1500 Tara Place, Hampton, GA 30228, USA",33.3867,-84.3125,USA,2478,
50,Atlanta Motor Speedway,Atlanta Motor Speedway Road Course,atlanta_motor_speedway,atlanta_motor_speedway_road_course,"Atlanta Motor Speedway, 1500 Tara Place, Hampton, GA 30228, USA",33.3867,-84.3125,USA,4023,
51,Atlanta Motor Speedway,Atlanta Motor Speedway Legends Oval,atlanta_motor_speedway,atlanta_motor_speedway_legends_oval,"Atlanta Motor Speedway, 1500 Tara Place, Hampton, GA 30228, USA",33.3867,-84.3125,USA,402,
52,Atlanta Motorsports Park,Full circuit,atlanta_motorsports_park,full_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,2953,
53,Atlanta Motorsports Park,Variation 1 circuit,atlanta_motorsports_park,variation_1_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,1001,
54,Atlanta Motorsports Park,Variation 2 circuit,atlanta_motorsports_park,variation_2_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,1262,
55,Atlanta Motorsports Park,Variation 3 circuit,atlanta_motorsports_park,variation_3_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,2213,
56,Atlanta Motorsports Park,Variation 4 circuit,atlanta_motorsports_park,variation_4_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,2002,
57,Atlanta Motorsports Park,Drift oval circuit,atlanta_motorsports_park,drift_oval_circuit,"Atlanta Motorsports Park, 20 Duck Thurmond Road, Dawsonville, GA 30534, USA",34.435913,-84.1776123,USA,586,
58,Atlantic Motorsport Park,Full circuit,atlantic_motorsport_park,full_circuit,"Atlantic Motorsport Park, P.O. Box 434 Lower Sackville, Nova Scotia B4C 2T2, Canada",44.76784146,-63.66251338,CAN,2575,
59,Audru Ring,Full course,audru_ring,full_course,"Audru Ring, Papsaare küla, Audru vald 88137, Pärnumaa, Estonia",58.40289639,24.41604845,EST,3200,Auto24Ring - Pärnu Ring - Porsche Ring - Sauga Kolmnurk
60,Audru Ring,Põhjaring (North course),audru_ring,pohjaring_north_course,"Audru Ring, Papsaare küla, Audru vald 88137, Pärnumaa, Estonia",58.40289639,24.41604845,EST,1500,Auto24Ring - Pärnu Ring - Porsche Ring - Sauga Kolmnurk
61,Audru Ring,Lõunaring (South course),audru_ring,lounaring_south_course,"Audru Ring, Papsaare küla, Audru vald 88137, Pärnumaa, Estonia",58.40289639,24.41604845,EST,,Auto24Ring - Pärnu Ring - Porsche Ring - Sauga Kolmnurk
62,Autódromo Ciudad de Concordia,Gran Premio circuit,autodromo_ciudad_de_concordia,gran_premio_circuit,"Autódromo Ciudad de Concordia, Av. Monseñor Ricardo Rösch S/N, 3200 Concordia, Entre Ríos, Argentina",-31.3073756,-58.0081254,ARG,4700,
63,Autódromo Ciudad de Concordia,Intermediate circuit,autodromo_ciudad_de_concordia,intermediate_circuit,"Autódromo Ciudad de Concordia, Av. Monseñor Ricardo Rösch S/N, 3200 Concordia, Entre Ríos, Argentina",-31.3073756,-58.0081254,ARG,3120,
64,Autódromo Ciudad de Concordia,Short circuit,autodromo_ciudad_de_concordia,short_circuit,"Autódromo Ciudad de Concordia, Av. Monseñor Ricardo Rösch S/N, 3200 Concordia, Entre Ríos, Argentina",-31.3073756,-58.0081254,ARG,3120,
65,Autódromo de Rivera,Full Circuit,autodromo_de_rivera,full_circuit,"Autódromo Internacional Eduardo P. Cabrera, Agraciada 570, Rivera, Uruguay",-30.89982093,-55.54125974,URY,3080,
66,Autódromo de Rivera,Short Circuit,autodromo_de_rivera,short_circuit,"Autódromo Internacional Eduardo P. Cabrera, Agraciada 570, Rivera, Uruguay",-30.89982093,-55.54125974,URY,2100,
67,Autódromo Guadalajara,Full Circuit,autodromo_guadalajara,full_circuit,"Autódromo Guadalajara, Av. Adolf Bernard Horn Junior 6600, Santa Cruz del Valle, Jal., Mexico",20.54710337,-103.336814,MEX,2414,Autódromo Toluquilla
68,Autódromo Guadalajara,Short Circuit,autodromo_guadalajara,short_circuit,"Autódromo Guadalajara, Av. Adolf Bernard Horn Junior 6600, Santa Cruz del Valle, Jal., Mexico",20.54710337,-103.336814,MEX,,Autódromo Toluquilla
69,Autódromo Guadalajara,Club Circuit,autodromo_guadalajara,club_circuit,"Autódromo Guadalajara, Av. Adolf Bernard Horn Junior 6600, Santa Cruz del Valle, Jal., Mexico",20.54710337,-103.336814,MEX,,Autódromo Toluquilla
70,Autódromo Internacional de Maputo,Full circuit,autodromo_internacional_de_maputo,full_circuit,"Automóvel e Touring Clube de Moçambique, Av. da Marginal, Centro Baía Mall, Piso Superior, Loja F9, Maputo, Mozambique",-25.91406721,32.56535138,MOZ,3690,Autódromo de Lourenço Marques
71,Autódromo Internacional de Maputo,Full circuit with chicane,autodromo_internacional_de_maputo,full_circuit_with_chicane,"Automóvel e Touring Clube de Moçambique, Av. da Marginal, Centro Baía Mall, Piso Superior, Loja F9, Maputo, Mozambique",-25.91406721,32.56535138,MOZ,,Autódromo de Lourenço Marques
72,Autódromo Internacional do Algarve,Car Circuit,autodromo_internacional_do_algarve,car_circuit,"Autódromo Internacional do Algarve, Sítio do Escampadinho, Mexilhoeira Grande, 8500-148 Portimão, Portugal",37.2200656,-8.6402429,PRT,4653,Algarve Circuit - Portimão Circuit
73,Autódromo Internacional do Algarve,Car Circuit with T1 chicane,autodromo_internacional_do_algarve,car_circuit_with_t1_chicane,"Autódromo Internacional do Algarve, Sítio do Escampadinho, Mexilhoeira Grande, 8500-148 Portimão, Portugal",37.2200656,-8.6402429,PRT,4684,Algarve Circuit - Portimão Circuit
74,Autódromo Internacional do Algarve,Bike Circuit,autodromo_internacional_do_algarve,bike_circuit,"Autódromo Internacional do Algarve, Sítio do Escampadinho, Mexilhoeira Grande, 8500-148 Portimão, Portugal",37.2200656,-8.6402429,PRT,4592,Algarve Circuit - Portimão Circuit
75,Autódromo Internacional do Algarve,Bike Circuit with T1 chicane,autodromo_internacional_do_algarve,bike_circuit_with_t1_chicane,"Autódromo Internacional do Algarve, Sítio do Escampadinho, Mexilhoeira Grande, 8500-148 Portimão, Portugal",37.2200656,-8.6402429,PRT,4674,Algarve Circuit - Portimão Circuit
76,Autódromo Jorge Ángel Pena,Full circuit,autodromo_jorge_angel_pena,full_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,4167,
